episode,reward sum,average delay,cache hit ratio
760.0000,76298.3361,39.3659,0.8480
765.0000,73863.7591,43.8731,0.8590
770.0000,76380.4261,39.1278,0.8484
775.0000,80907.8500,33.9028,0.9033
780.0000,80488.1088,34.2482,0.8941
785.0000,73024.0563,45.1012,0.8538
790.0000,82705.0820,30.6708,0.9307
795.0000,85175.0751,30.1151,0.9507
800.0000,85571.6646,29.2008,0.9551
805.0000,76367.9077,40.1971,0.8529
810.0000,85243.5859,30.0884,0.9519
815.0000,85669.5696,29.0773,0.9555
820.0000,84858.8239,30.1001,0.9459
825.0000,70861.8392,47.6905,0.8258
830.0000,65598.3842,53.6441,0.7231
835.0000,85016.6373,30.2404,0.9504
840.0000,76400.3802,38.8662,0.8504
845.0000,81971.3543,33.6960,0.9160
850.0000,77680.8668,37.6355,0.8636
855.0000,89568.2354,24.6450,0.9998
860.0000,84104.2102,29.3746,0.9400
865.0000,80031.0271,36.0163,0.8889
870.0000,80309.9953,33.4549,0.9045
875.0000,77739.4747,39.3934,0.9039
880.0000,81109.4079,34.8150,0.9048
885.0000,81319.6757,34.7579,0.9065
890.0000,80931.8898,34.2788,0.9038
895.0000,71069.6623,47.4457,0.8266
900.0000,81376.6136,34.7414,0.9062
905.0000,78367.5324,37.7677,0.8755
910.0000,85590.4183,29.2610,0.9552
915.0000,85703.6353,29.0995,0.9554
920.0000,83760.5892,31.2440,0.9331
925.0000,80071.1937,34.5588,0.8987
930.0000,84179.3018,30.0801,0.9508
935.0000,85404.7828,29.0871,0.9548
940.0000,85376.4896,29.1903,0.9545
945.0000,80249.3723,33.6412,0.8962
950.0000,76096.2943,39.1325,0.8844
955.0000,81256.6793,34.5009,0.9074
960.0000,80858.6434,33.4432,0.8992
965.0000,80783.5761,33.6258,0.8982
970.0000,88615.0226,25.3316,0.9923
975.0000,77333.7383,38.1192,0.8639
980.0000,67117.5223,49.7723,0.7421
985.0000,76306.8104,40.5158,0.8464
990.0000,80025.0154,34.3099,0.8917
995.0000,75608.6980,41.3269,0.8398
1000.0000,81680.5122,33.6950,0.9149
1005.0000,78717.8744,35.7545,0.8803
1010.0000,76183.7868,38.9387,0.8489
1015.0000,74847.2262,42.7385,0.8705
1020.0000,89440.2025,24.4705,0.9997
1025.0000,76845.2183,38.1602,0.8581
1030.0000,84833.0569,29.7684,0.9496
1035.0000,81187.2069,34.2533,0.9088
1040.0000,83909.6867,31.3022,0.9374
1045.0000,84299.0106,30.5385,0.9418
1050.0000,85737.1277,28.8205,0.9575
1055.0000,81289.8382,34.5993,0.9068
1060.0000,81435.3364,34.6731,0.9063
1065.0000,85465.4263,29.0202,0.9553
1070.0000,81841.8535,33.7632,0.9136
1075.0000,84465.8312,29.1151,0.9411
1080.0000,78626.0292,37.7387,0.8768
1085.0000,85294.7643,29.8778,0.9520
1090.0000,85630.6528,29.0684,0.9554
1095.0000,85694.0061,29.1302,0.9543
1100.0000,80805.9552,33.3906,0.9021
1105.0000,83449.8972,30.8086,0.9327
1110.0000,85726.9962,29.0981,0.9543
1115.0000,85306.8112,29.0140,0.9550
1120.0000,85470.0051,29.1434,0.9545
1125.0000,85446.1897,29.0668,0.9561
1130.0000,89262.6288,24.3650,1.0000
1135.0000,85524.8582,29.0550,0.9548
1140.0000,86948.5472,26.6512,0.9776
1145.0000,85654.4710,29.1851,0.9547
1150.0000,85795.6765,28.8624,0.9562
1155.0000,85283.0922,28.6739,0.9584
1160.0000,84204.2110,29.1380,0.9428
1165.0000,85639.7552,29.1376,0.9556
1170.0000,85472.3455,29.0493,0.9550
1175.0000,85660.7110,29.0627,0.9552
1180.0000,85674.3654,28.9160,0.9561
1185.0000,77824.1668,38.9629,0.9052
1190.0000,85874.3996,28.7960,0.9593
1195.0000,83991.6163,31.4527,0.9350
1200.0000,84699.4013,29.1552,0.9513
1205.0000,85716.7660,29.0334,0.9558
1210.0000,85798.4491,28.6968,0.9585
1215.0000,85680.0499,29.1197,0.9545
1220.0000,85490.5026,29.1822,0.9552
1225.0000,83090.3387,32.0519,0.9317
1230.0000,85990.8214,27.9837,0.9663
1235.0000,85799.9964,28.9278,0.9559
1240.0000,86192.2877,28.3808,0.9619
1245.0000,85534.4081,29.1508,0.9543
1250.0000,85835.3781,28.8141,0.9578
1255.0000,85596.5465,28.9920,0.9555
1260.0000,85708.8387,29.1152,0.9556
1265.0000,85574.7947,28.9841,0.9557
1270.0000,85261.7170,29.1578,0.9546
1275.0000,85392.9900,29.0833,0.9549
1280.0000,88289.6586,25.8627,0.9873
1285.0000,85626.7826,28.7849,0.9569
1290.0000,80605.0551,34.6008,0.9000
1295.0000,80161.7280,35.4824,0.8966
1300.0000,85727.9859,29.0516,0.9551
1305.0000,85583.2055,28.9674,0.9561
1310.0000,85245.4302,29.4431,0.9499
1315.0000,86575.0680,27.6770,0.9696
1320.0000,85014.0063,29.9672,0.9480
1325.0000,85503.9905,29.1115,0.9547
1330.0000,86662.4518,27.5895,0.9676
1335.0000,85242.8588,30.0145,0.9518
1340.0000,88324.2695,25.9049,0.9864
1345.0000,89628.9927,24.5374,0.9999
1350.0000,85849.7143,28.6273,0.9594
1355.0000,85633.4638,29.1323,0.9544
1360.0000,85511.8070,28.7897,0.9577
1365.0000,89184.1586,24.8363,0.9964
1370.0000,86989.3251,27.3863,0.9718
1375.0000,79532.1209,35.2171,0.8903
1380.0000,84974.2813,29.2235,0.9543
1385.0000,79993.2567,33.7466,0.8947
1390.0000,85573.7701,28.9838,0.9558
1395.0000,85384.7353,29.0507,0.9546
1400.0000,80732.4894,33.2021,0.9007
1405.0000,81591.1716,33.1534,0.9151
1410.0000,88636.6888,25.5143,0.9914
1415.0000,85342.7081,28.8715,0.9566
1420.0000,80504.1106,34.2516,0.8977
1425.0000,84209.0376,30.1262,0.9441
1430.0000,84116.0957,30.1697,0.9450
1435.0000,85000.5533,29.9183,0.9525
1440.0000,85431.8688,29.0073,0.9557
1445.0000,88139.0829,25.9447,0.9850
1450.0000,87909.3253,26.2091,0.9827
1455.0000,80998.2704,34.7924,0.9461
1460.0000,82688.2368,32.2559,0.9226
1465.0000,84635.5340,30.1311,0.9499
1470.0000,85458.4243,28.9542,0.9556
1475.0000,87187.1775,27.4890,0.9731
1480.0000,89255.3833,24.4886,0.9999
1485.0000,84774.8659,29.6859,0.9524
1490.0000,85071.4876,29.9436,0.9518
1495.0000,87577.1393,26.1276,0.9834
1500.0000,85560.9006,28.8822,0.9564
1505.0000,85675.4325,28.6398,0.9591
1510.0000,81741.2049,33.5972,0.9113
1515.0000,85185.0435,29.9453,0.9519
1520.0000,89306.6369,24.7609,0.9962
1525.0000,89315.1570,24.4400,0.9995
1530.0000,88869.9651,24.6120,0.9980
1535.0000,85241.7272,29.9476,0.9534
1540.0000,89192.7849,24.3728,0.9999
1545.0000,89140.6882,24.4499,0.9994
1550.0000,89640.4538,24.4000,0.9998
1555.0000,85292.3397,29.7815,0.9525
1560.0000,89296.7125,24.6572,0.9976
1565.0000,84887.4061,29.7631,0.9535
1570.0000,89301.6331,24.3582,0.9999
1575.0000,85113.7981,29.8941,0.9517
1580.0000,89353.8581,24.3800,0.9997
1585.0000,85435.8602,28.3065,0.9519
1590.0000,89478.6662,24.5112,0.9999
1595.0000,89421.2036,24.4116,0.9999
1600.0000,85260.7836,29.5550,0.9553
1605.0000,89533.5622,24.4706,0.9999
1610.0000,89317.2792,24.4601,0.9999
1615.0000,89434.4079,24.4798,1.0000
1620.0000,89328.2550,24.4786,1.0000
1625.0000,89697.8384,24.4428,0.9999
1630.0000,89471.0476,24.4732,0.9995
1635.0000,89476.4533,24.5104,0.9999
1640.0000,89033.5932,24.4178,0.9998
1645.0000,82713.6365,32.8529,0.9238
1650.0000,86579.3464,27.8520,0.9657
1655.0000,89429.5631,24.4377,1.0000
1660.0000,85183.7025,30.1517,0.9509
1665.0000,89521.4518,24.4430,1.0000
1670.0000,89555.5169,24.4243,0.9998
1675.0000,89629.6354,24.4315,0.9996
1680.0000,89160.6044,24.5898,0.9976
1685.0000,89661.7551,24.5290,0.9999
1690.0000,85157.0856,29.7586,0.9535
1695.0000,89438.5820,24.4285,0.9999
1700.0000,89485.7248,24.5566,0.9997
1705.0000,89357.9900,24.4041,0.9999
1710.0000,89165.8023,24.4348,1.0000
1715.0000,89176.3950,24.7264,0.9969
1720.0000,84044.0166,30.5016,0.9434
1725.0000,89499.9973,24.4756,0.9998
1730.0000,88581.8464,24.8827,0.9965
1735.0000,87175.6633,26.9808,0.9773
1740.0000,86538.6676,27.3326,0.9744
1745.0000,86622.0159,27.2086,0.9751
1750.0000,86371.5222,27.1373,0.9757
1755.0000,86055.9563,27.6470,0.9672
1760.0000,87810.6002,26.4884,0.9825
1765.0000,85969.3670,28.6926,0.9631
1770.0000,86787.4283,27.4880,0.9729
1775.0000,89370.8474,24.4907,1.0000
1780.0000,72592.4599,44.8312,0.8306
1785.0000,89487.0653,24.4725,0.9997
1790.0000,87123.1524,27.0410,0.9768
1795.0000,86864.1268,27.4389,0.9752
1800.0000,86667.5244,27.5975,0.9735
1805.0000,86148.6155,28.2410,0.9660
1810.0000,86687.8878,27.5482,0.9715
1815.0000,85275.9473,30.0805,0.9512
1820.0000,85283.1660,29.8956,0.9522
1825.0000,87024.8912,27.1523,0.9765
1830.0000,85028.7045,29.7690,0.9528
1835.0000,87002.7844,27.3087,0.9751
1840.0000,86575.1244,27.6445,0.9722
1845.0000,89471.6831,24.4292,1.0000
1850.0000,86960.6382,27.1881,0.9758
1855.0000,87185.1341,27.2886,0.9751
1860.0000,86770.1531,27.3906,0.9746
1865.0000,86840.9363,26.9570,0.9741
1870.0000,84826.2007,29.9521,0.9513
1875.0000,89408.0458,24.4276,1.0000
1880.0000,87022.1172,27.2632,0.9749
1885.0000,87281.2946,26.7052,0.9768
1890.0000,89327.7368,24.5354,0.9997
1895.0000,85552.8563,28.9800,0.9560
1900.0000,89301.8321,24.4148,1.0000
1905.0000,82803.1577,32.7107,0.9216
1910.0000,85386.0438,30.1187,0.9515
1915.0000,89588.1232,24.4004,0.9999
1920.0000,89463.4249,24.4882,0.9993
1925.0000,89300.7217,24.4443,0.9992
1930.0000,89519.1899,24.3945,1.0000
1935.0000,87064.1360,26.0175,0.9794
1940.0000,89602.7851,24.4572,0.9999
1945.0000,89508.9228,24.3948,1.0000
1950.0000,89462.2643,24.4951,0.9995
1955.0000,89378.3067,24.5897,0.9981
1960.0000,89437.9848,24.4875,0.9991
1965.0000,89551.8286,24.4830,0.9997
1970.0000,85200.3077,30.0118,0.9515
1975.0000,89351.8863,24.4298,0.9998
1980.0000,89790.6084,24.4403,0.9997
1985.0000,89533.6312,24.4413,1.0000
1990.0000,89447.7740,24.4807,1.0000
1995.0000,89378.3300,24.5311,0.9987
2000.0000,89500.8706,24.6446,0.9993
